"Banco de México"

"Producción"
"Oferta y demanda agregada (base 1993) trimestral"

"Fecha de consulta: 07/06/2020 12:10:09"

""

"Título","Indice de precios y cotizaciones, Indice general","Cetes 28 días, Tasa de rendimiento promedio mensual, en por ciento anual","Udibonos a 10 años (3640 días), Tasa de rendimiento promedio ponderado, en por ciento anual"
"Periodo disponible","Ene 1981 - May 2020","Ene 1978 - May 2020","Ene 1999 - May 2020"
"Periodicidad","Mensual","Mensual","Mensual"
"Cifra","Indices","Porcentajes","Porcentajes"
"Unidad","Sin Unidad","Porcentajes","Porcentajes"
"Base","1978","",""
"Aviso","","",""
"Tipo de información","Niveles","Niveles","Niveles"
"Fecha","SF4782","SF282","SF17804"
01/01/1990,444.75,41.29,N/E
01/02/1990,473.02,45.20,N/E
01/03/1990,489.62,46.65,N/E
01/04/1990,525.61,44.64,N/E
01/05/1990,650.29,36.92,N/E
01/06/1990,615.33,32.38,N/E
01/07/1990,673.14,30.66,N/E
01/08/1990,580.98,29.72,N/E
01/09/1990,522.08,30.14,N/E
01/10/1990,611.38,28.70,N/E
01/11/1990,626.71,24.82,N/E
01/12/1990,628.79,25.99,N/E
01/01/1991,622.99,23.64,N/E
01/02/1991,659.17,23.15,N/E
01/03/1991,803.35,22.04,N/E
01/04/1991,901.14,21.12,N/E
01/05/1991,1096.17,19.77,N/E
01/06/1991,1058.02,17.74,N/E
01/07/1991,1193.65,18.47,N/E
01/08/1991,1254.60,16.71,N/E
01/09/1991,1257.27,17.55,N/E
01/10/1991,1371.01,17.87,N/E
01/11/1991,1384.18,16.62,N/E
01/12/1991,1431.46,16.65,N/E
01/01/1992,1623.47,15.31,N/E
01/02/1992,1860.63,14.56,N/E
01/03/1992,1875.73,11.84,N/E
01/04/1992,1838.30,12.44,N/E
01/05/1992,1892.33,13.60,N/E
01/06/1992,1599.26,15.03,N/E
01/07/1992,1569.73,16.23,N/E
01/08/1992,1400.37,16.49,N/E
01/09/1992,1327.07,17.54,N/E
01/10/1992,1597.33,19.39,N/E
01/11/1992,1715.69,18.15,N/E
01/12/1992,1759.44,16.88,N/E
01/01/1993,1653.22,16.72,N/E
01/02/1993,1546.68,17.74,N/E
01/03/1993,1771.71,17.47,N/E
01/04/1993,1665.41,16.17,N/E
01/05/1993,1612.99,15.04,N/E
01/06/1993,1670.29,15.50,N/E
01/07/1993,1769.71,13.85,N/E
01/08/1993,1905.59,13.68,N/E
01/09/1993,1840.72,13.71,N/E
01/10/1993,2020.26,13.13,N/E
01/11/1993,2215.69,14.38,N/E
01/12/1993,2602.63,11.78,N/E
01/01/1994,2781.37,10.52,N/E
01/02/1994,2585.44,9.45,N/E
01/03/1994,2410.40,9.73,N/E
01/04/1994,2294.10,15.79,N/E
01/05/1994,2483.70,16.36,N/E
01/06/1994,2262.60,16.18,N/E
01/07/1994,2462.30,17.07,N/E
01/08/1994,2702.70,14.46,N/E
01/09/1994,2746.10,13.76,N/E
01/10/1994,2552.10,13.60,N/E
01/11/1994,2591.30,13.74,N/E
01/12/1994,2375.70,18.51,N/E
01/01/1995,2094.00,37.25,N/E
01/02/1995,1549.80,41.69,N/E
01/03/1995,1832.80,69.54,N/E
01/04/1995,1960.50,74.75,N/E
01/05/1995,1945.10,59.17,N/E
01/06/1995,2196.10,47.25,N/E
01/07/1995,2375.20,40.94,N/E
01/08/1995,2517.00,35.14,N/E
01/09/1995,2392.30,33.46,N/E
01/10/1995,2302.00,40.29,N/E
01/11/1995,2689.00,53.16,N/E
01/12/1995,2778.50,48.62,N/E
01/01/1996,3034.70,40.99,N/E
01/02/1996,2832.50,38.58,N/E
01/03/1996,3072.40,41.45,N/E
01/04/1996,3187.20,35.21,N/E
01/05/1996,3205.50,28.45,N/E
01/06/1996,3210.80,27.81,N/E
01/07/1996,3007.20,31.25,N/E
01/08/1996,3305.50,26.51,N/E
01/09/1996,3236.30,23.90,N/E
01/10/1996,3213.30,25.75,N/E
01/11/1996,3291.70,29.57,N/E
01/12/1996,3361.00,27.23,N/E
01/01/1997,3647.20,23.55,N/E
01/02/1997,3841.00,19.80,N/E
01/03/1997,3748.00,21.66,N/E
01/04/1997,3756.60,21.35,N/E
01/05/1997,3968.81,18.42,N/E
01/06/1997,4458.00,20.17,N/E
01/07/1997,5067.80,18.80,N/E
01/08/1997,4648.40,18.93,N/E
01/09/1997,5321.50,18.02,N/E
01/10/1997,4647.84,17.92,N/E
01/11/1997,4974.57,20.16,N/E
01/12/1997,5229.35,18.85,N/E
01/01/1998,4569.36,17.95,N/E
01/02/1998,4784.45,18.74,N/E
01/03/1998,5016.22,19.85,N/E
01/04/1998,5098.53,19.03,N/E
01/05/1998,4530.01,17.91,N/E
01/06/1998,4282.62,19.50,N/E
01/07/1998,4244.96,20.08,N/E
01/08/1998,2991.93,22.64,N/E
01/09/1998,3569.88,40.80,N/E
01/10/1998,4074.86,34.86,N/E
01/11/1998,3769.88,32.12,N/E
01/12/1998,3959.66,33.66,N/E
01/01/1999,3957.93,32.13,0.00
01/02/1999,4260.80,28.76,0.00
01/03/1999,4930.37,23.47,0.00
01/04/1999,5414.45,20.29,0.00
01/05/1999,5477.65,19.89,0.00
01/06/1999,5829.51,21.08,0.00
01/07/1999,5260.35,19.78,0.00
01/08/1999,5086.87,20.54,0.00
01/09/1999,5050.46,19.71,0.00
01/10/1999,5450.37,17.87,7.14
01/11/1999,6136.47,16.96,7.01
01/12/1999,7129.88,16.45,6.63
01/01/2000,6585.67,16.19,6.58
01/02/2000,7368.55,15.81,6.04
01/03/2000,7473.25,13.66,5.91
01/04/2000,6640.68,12.93,0.00
01/05/2000,5961.14,14.18,7.52
01/06/2000,6948.33,15.65,7.64
01/07/2000,6514.21,13.73,0.00
01/08/2000,6664.82,15.23,6.81
01/09/2000,6334.56,15.06,6.48
01/10/2000,6394.24,15.88,6.91
01/11/2000,5652.63,17.56,0.00
01/12/2000,5652.19,17.05,6.78
01/01/2001,6496.89,17.89,7.47
01/02/2001,6032.10,17.34,0.00
01/03/2001,5727.89,15.80,7.68
01/04/2001,5987.25,14.96,7.26
01/05/2001,6595.39,11.95,6.34
01/06/2001,6666.17,9.43,0.00
01/07/2001,6474.40,9.39,6.05
01/08/2001,6310.70,7.51,6.25
01/09/2001,5403.53,9.32,6.56
01/10/2001,5537.04,8.36,N/E
01/11/2001,5832.83,7.43,6.26
01/12/2001,6372.28,6.29,5.78
01/01/2002,6927.87,6.97,5.29
01/02/2002,6734.44,7.91,N/E
01/03/2002,7361.86,7.23,5.11
01/04/2002,7480.74,5.76,4.89
01/05/2002,7031.64,6.61,N/E
01/06/2002,6460.95,7.30,5.32
01/07/2002,6021.84,7.38,5.92
01/08/2002,6216.43,6.68,5.80
01/09/2002,5728.46,7.34,N/E
01/10/2002,5967.73,7.66,6.06
01/11/2002,6156.83,7.30,5.75
01/12/2002,6127.09,6.88,N/E
01/01/2003,5954.35,8.27,5.50
01/02/2003,5927.06,9.04,5.44
01/03/2003,5914.03,9.17,5.13
01/04/2003,6509.88,7.86,N/E
01/05/2003,6699.18,5.25,4.71
01/06/2003,7054.99,5.20,4.19
01/07/2003,7355.07,4.57,4.34
01/08/2003,7591.42,4.45,N/E
01/09/2003,7822.48,4.73,4.08
01/10/2003,8064.83,5.11,3.89
01/11/2003,8554.48,4.99,N/E
01/12/2003,8795.28,6.06,4.00
01/01/2004,9428.77,4.95,3.99
01/02/2004,9991.80,5.57,4.07
01/03/2004,10517.50,6.28,N/E
01/04/2004,9948.13,5.98,4.21
01/05/2004,10036.29,6.59,5.12
01/06/2004,10281.82,6.57,N/E
01/07/2004,10116.39,6.81,5.59
01/08/2004,10264.32,7.21,5.29
01/09/2004,10957.37,7.36,5.00
01/10/2004,11564.35,7.76,4.74
01/11/2004,12102.55,8.20,4.96
01/12/2004,12917.88,8.50,4.88
01/01/2005,13097.12,8.60,5.16
01/02/2005,13789.46,9.15,5.07
01/03/2005,12676.90,9.41,5.08
01/04/2005,12322.99,9.63,5.99
01/05/2005,12964.39,9.75,5.67
01/06/2005,13486.13,9.63,5.03
01/07/2005,14409.66,9.61,4.90
01/08/2005,14243.19,9.60,4.75
01/09/2005,16120.08,9.21,4.18
01/10/2005,15759.73,8.91,4.40
01/11/2005,16830.96,8.71,4.51
01/12/2005,17802.71,8.22,4.30
01/01/2006,18907.10,7.88,4.09
01/02/2006,18706.32,7.61,4.09
01/03/2006,19272.63,7.37,4.06
01/04/2006,20646.19,7.17,4.25
01/05/2006,18677.92,7.02,4.40
01/06/2006,19147.17,7.02,5.00
01/07/2006,20095.93,7.03,4.47
01/08/2006,21049.35,7.03,4.04
01/09/2006,21937.11,7.06,4.00
01/10/2006,23046.95,7.05,4.04
01/11/2006,24962.01,7.04,3.95
01/12/2006,26448.32,7.04,3.66
01/01/2007,27561.49,7.04,3.54
01/02/2007,26638.95,7.04,3.80
01/03/2007,28747.69,7.04,3.71
01/04/2007,28996.71,7.01,3.52
01/05/2007,31398.96,7.24,3.57
01/06/2007,31151.05,7.20,3.58
01/07/2007,30659.66,7.19,3.43
01/08/2007,30347.86,7.20,3.65
01/09/2007,30296.19,7.21,3.63
01/10/2007,31458.67,7.20,3.73
01/11/2007,29770.52,7.44,3.71
01/12/2007,29536.83,7.44,3.70
01/01/2008,28793.64,7.42,3.80
01/02/2008,28918.52,7.43,3.65
01/03/2008,30912.99,7.43,3.52
01/04/2008,30281.41,7.44,3.60
01/05/2008,31975.47,7.44,3.81
01/06/2008,29395.49,7.56,4.19
01/07/2008,27501.02,7.93,4.22
01/08/2008,26290.99,8.18,3.94
01/09/2008,24888.90,8.17,4.03
01/10/2008,20445.32,7.74,4.35
01/11/2008,20534.72,7.43,4.89
01/12/2008,22380.32,8.02,4.44
01/01/2009,19565.14,7.59,3.80
01/02/2009,17752.18,7.12,4.35
01/03/2009,19626.75,7.03,4.74
01/04/2009,21898.85,6.05,3.76
01/05/2009,24331.71,5.29,3.94
01/06/2009,24368.38,4.98,4.16
01/07/2009,27043.50,4.59,3.92
01/08/2009,28129.95,4.49,3.68
01/09/2009,29232.24,4.48,3.66
01/10/2009,28646.03,4.51,3.29
01/11/2009,30957.11,4.51,3.44
01/12/2009,32120.47,4.50,3.35
01/01/2010,30391.61,4.49,3.36
01/02/2010,31634.54,4.49,3.29
01/03/2010,33266.43,4.45,3.31
01/04/2010,32687.32,4.44,3.40
